user,melody,chunkIndex,condition,slope,intercept,n_points
8,A,1,Static,-0.027293392,0.452891035,10
8,A,2,Static,-0.061883038,0.820349302,10
8,B,0,Dynamic,-0.038525172,0.441501571,10
8,B,1,Dynamic,-0.069036757,0.846934282,9
8,B,2,Dynamic,-0.014150291,0.391549977,10
9,A,0,Static,-0.019917436,0.803005725,10
9,A,1,Static,-0.053510656,0.771732586,10
9,A,2,Static,0.035133771,0.537709954,10
9,B,0,Dynamic,0.034604364,0.281093158,10
9,B,1,Dynamic,-0.026252712,0.673309092,10
9,B,2,Dynamic,-0.005714467,0.481726277,10
